feedback_id,feedback
JM001,I tried logging in three times before work and got the same error each time. I was frustrated. Online banking was still unavailable when I left.
JM002,The mobile app keeps showing a login error when I enter my usual details. I tried again after lunch and still had no access to my account.
JM003,"My password reset email never arrived. I checked my inbox and spam folder, then requested it twice more. I am anxious. I need access to my account today."
JM004,"I requested a password reset on the website this morning. An hour later the email was still missing, so account recovery is on hold."
JM005,Signed into online banking on the first try and checked my balance before heading out. Nice and quick.
JM006,The password reset email arrived straight away. I chose a new password and was back in my account within a couple of minutes. I felt relieved.
JM007,"I started opening a savings account on the website, but the identity check kept rejecting my driving licence photo. Three clear pictures later I still had no way to continue."
JM008,"As a new member, I got stuck at identity verification while opening my account. The application rejected my ID twice even though all the details matched. I was frustrated."
JM009,"Everything was ready for my new checking account until the first deposit. I tried to fund it from my other bank twice and both attempts failed, leaving the account opening unfinished."
JM010,The account-opening application erased my address and employment information when I went back one page. I entered it all again and lost it a second time. I gave up for the evening.
JM011,"Opening my checking account online was easy. The website took me from my personal details through the first deposit, and I had the completed account confirmation in about ten minutes."
JM012,"I began the new-account application on my phone and saved it after entering my contact details. The tax residency question took a little reading, but I worked out which answer applied."
JM013,"I sent a transfer from savings to checking in online banking. The money appears to have moved, but there was no confirmation or reference number to keep."
JM014,"After submitting a transfer, the website went back to the account list with no confirmation. I searched the activity twice and called to check before risking a second transfer. I was confused."
JM015,"I added my landlord as a transfer recipient and entered the account details carefully. Each time I pressed Continue, the mobile app cleared the recipient and amount. I tried three times and rent is still unpaid."
JM016,"Moving money between my accounts was simple. I selected checking and savings, entered the amount, confirmed it, and saw the transfer right away."
JM017,Paid a regular recipient through online banking in under a minute. The verification code arrived promptly and the payment confirmation was clear. I am satisfied.
JM018,"It took me a minute to find transfers in the new menu. Once there, selecting the destination account and filling in the transfer details made sense."
JM019,My debit card was declined at the grocery checkout even though my available balance covered the purchase. It was embarrassing to hold up the queue.
JM020,Two shops declined my debit card this afternoon. I checked the available funds in the mobile app and there was plenty to cover both purchases. I had to leave my shopping behind.
JM021,"I followed the steps to activate my replacement debit card on the website. Activation failed twice, and trying again by phone left the card inactive."
JM022,My replacement debit card is more than a week overdue. I have called twice for an update and am still borrowing cash from my partner for everyday purchases. I was worried about getting through the weekend.
JM023,Activated my new debit card in the mobile app in seconds. The first card transaction at the cafe went through straight away.
JM024,"I found the freeze control after looking through the card settings. It took a moment to locate, but freezing and unfreezing the card both worked."
JM025,"The personal loan application on the website had so many steps that I lost track of what was still needed. The wording about income was confusing, and I restarted the application after getting stuck."
JM026,"As a customer applying for a loan, I expected a shorter process. There were too many application pages and unclear instructions about earnings. I went back through the same sections twice and still left it unfinished."
JM027,My loan documents failed to upload three times. The website accepted the file selection and then dropped the attachment each time I submitted it. I am frustrated.
JM028,"The loan officer said I would have a decision by Tuesday. It is Friday and the application still says under review, with no decision in my email. I am anxious. The car seller is waiting."
JM029,My car loan was approved the next morning and the funding reached the dealer when promised. The loan officer explained the final documents clearly. I felt relieved.
JM030,"I submitted the requested payslips with my loan application. There was a request for one more bank statement the following day, which I uploaded, and I am waiting for the review."
JM031,"I checked in at the branch and waited 35 minutes for a teller, just to withdraw cash. The queue barely moved during my lunch break."
JM032,The branch wait was so long that I had to leave for work before being served. I came back the next day and spent another half hour in line. I was frustrated.
JM033,The branch staff were friendly and helpful.
JM034,My branch teller was polite and courteous.
JM035,"When I arrived at the branch, someone checked me in straight away. The employee patiently explained the paperwork and completed my address change before I had finished my coffee."
JM036,"I called the contact center about an account question and waited on hold for 45 minutes. My break ended before anyone answered, so I had to call again that evening."
JM037,"Twenty-five minutes of hold music on the phone for a simple service question. I was frustrated. Once someone answered, the conversation itself was brief."
JM038,The contact center promised to call me back about my unresolved request by the end of the day. Two days later I called again and had to explain the whole issue to someone else. There is still no resolution.
JM039,"The phone representative answered quickly, verified my identity and sorted out my statement request on the same call. The promised email arrived before we hung up. I was happy with the service."
JM040,I looked through two pages on the website before finding the contact center phone number. I then used the automated identity check and explained my question to an agent. The call itself was straightforward.
